pitches,player_id,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,player
24234,544931,24234,100,0.223,0.13,0.297,0.353,0.277,0.276,0.217,1261,5654,88.0,10.9,2209.0,91.0,91.07,3091,11438,12774,Stephen Strasburg
23943,608379,23943,100,0.253,0.161,0.296,0.413,0.313,0.326,0.26,1419,5619,87.7,11.9,1970.0,89.1,89.57,2618,11693,12195,Michael Wacha
23676,527054,23676,100,0.239,0.166,0.273,0.405,0.309,0.328,0.25,1316,5508,88.4,14.8,2240.0,86.7,86.44,2640,11147,12479,Julio Teheran
23663,468504,23663,100,0.246,0.152,0.283,0.398,0.315,0.326,0.255,1344,5460,88.0,11.5,2206.0,86.5,84.76,2142,10243,13374,Jhoulys Chacín
23601,460059,23601,100,0.29,0.138,0.317,0.429,0.343,0.357,0.291,1577,5432,88.1,7.4,1809.0,89.9,89.45,1569,10550,12965,Mike Pelfrey
23484,573186,23484,100,0.253,0.129,0.299,0.382,0.302,0.314,0.258,1431,5646,88.8,3.7,2385.0,89.5,88.54,2429,10736,12741,Marcus Stroman
23444,450729,23444,100,0.264,0.132,0.297,0.396,0.311,0.331,0.269,1514,5729,87.3,9.5,1969.0,85.3,84.69,1644,10219,13188,Doug Fister
23160,501985,23160,100,0.251,0.175,0.292,0.427,0.317,0.307,0.235,1360,5409,87.3,17.4,2520.0,88.0,87.23,2474,10845,12260,Mike Minor
22755,502042,22755,100,0.239,0.147,0.299,0.386,0.303,0.309,0.239,1233,5155,89.5,11.7,2235.0,91.5,90.66,2879,10478,12264,Chris Archer
22718,456701,22718,100,0.267,0.156,0.309,0.423,0.326,0.346,0.285,1415,5293,89.4,11.5,1844.0,90.0,89.3,2347,10937,11704,Homer Bailey
22475,450351,22475,100,0.239,0.121,0.29,0.36,0.306,0.329,0.261,1184,4948,89.9,11.5,2082.0,88.0,85.69,1941,9137,13254,C.J. Wilson
22466,545333,22466,100,0.232,0.159,0.292,0.391,0.304,0.298,0.224,1155,4989,88.6,13.7,2419.0,88.0,87.63,2592,10031,12413,Trevor Bauer
22454,543606,22454,100,0.24,0.17,0.281,0.409,0.309,0.319,0.245,1151,4805,88.6,17.8,2043.0,88.1,87.3,2553,10887,11554,Jake Odorizzi
